Tester,HRID,Numer seryjny,Data,Napiecie bez obciazenia [V],Napiecie z obciazeniem [V],PIN 3,PIN 4,PIN 5,Wynik koncowy
RXT-PSU-001,TEST,jbbd12461zxh,2025-03-13 09:04:46,12.233649999999999,12.0206,PASS,PASS,PASS,PASS
RXT-PSU-001,TEST,jbbd12461zxh,2025-03-13 09:05:40,12.23391,12.01941,PASS,PASS,PASS,PASS
