HRID,Numer seryjny,Data,Napiecie bez obciazenia [V],Napiecie z obciazeniem [V],PIN 3,PIN 4,PIN 5,Wynik końcowy
ENG,JBBD128S4X00,2025-02-28 15:25:44,12.23874,11.97485,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:26:24,12.23867,11.97509,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:27:05,12.23878,11.9754,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:27:46,12.23878,11.975620000000001,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:28:26,12.238790000000002,11.97581,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:29:07,12.2388,11.97591,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:29:47,12.23875,11.976090000000001,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:30:28,12.23878,11.97629,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:31:09,12.23874,11.976379999999999,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:31:49,12.238790000000002,11.976389999999999,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:32:30,12.238719999999999,11.97652,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:33:10,12.238790000000002,11.97664,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:33:51,12.23878,11.97676,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:34:31,12.23868,11.976899999999999,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:35:12,12.238700000000001,11.97685,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:35:53,12.23886,11.97698,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:36:33,12.238760000000001,11.9771,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:37:14,12.23874,11.977079999999999,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:37:54,12.238719999999999,11.977129999999999,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:38:35,12.238760000000001,11.97724,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:39:16,12.23868,11.97734,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:39:56,12.238790000000002,11.977379999999998,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:40:37,12.23883,11.977409999999999,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:41:17,12.238790000000002,11.977319999999999,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:41:58,12.23887,11.977469999999999,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:42:39,12.23887,11.97753,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:43:19,12.23875,11.97761,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:44:00,12.23874,11.97767,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:44:40,12.23883,11.97205,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:45:21,12.23884,11.972809999999999,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:46:01,12.23875,11.97344,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:46:42,12.238700000000001,11.973840000000001,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:47:22,12.23869,11.97428,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:48:03,12.23884,11.974530000000001,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:48:44,12.238719999999999,11.974920000000001,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:49:24,12.23865,11.97505,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:50:05,12.2388,11.97538,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:50:45,12.23874,11.97551,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:51:26,12.2388,11.97568,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:52:06,12.23875,11.97568,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:52:47,12.23871,11.97591,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:53:28,12.238809999999999,11.97601,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:54:08,12.23871,11.97616,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:54:49,12.23874,11.97629,PASS,PASS,PASS,FAIL
ENG,JBBD128S4X00,2025-02-28 15:55:29,12.238700000000001,11.97633,PASS,PASS,PASS,FAIL
